musteri_id,msisdn,ad,soyad,fin,dogum_tarixi,tarif_id,tarif_adi,tarif_aktivlesme,tarif_bitme,balans_azn,internet_qaliq_gb,deqiqe_qaliq,sms_qaliq,sosial_media_qaliq_gb,ai_qaliq_gb,status,qeydiyyat_tarixi,pin
C0001,994551815908,Kamran,Abbasov,ERF3DHQ,16.04.1998,GO799,GO 7.99,31.08.2026,14.09.2026,43.92,2.84,147,74,0,0.4,aktiv,24.06.2021,0763
C0002,994992819482,Kamran,İsmayılov,ZGEDP73,12.11.2004,GO799,GO 7.99,23.08.2026,06.09.2026,21.99,1.76,116,46,0,0.3,aktiv,06.01.2021,3999
C0003,994995749118,Samir,Cəfərov,72CEWXY,30.08.1996,GO1199,GO 11.99,08.08.2026,05.09.2026,34.77,3.98,35,23,0,0.94,aktiv,25.04.2024,1064
C0004,994994650752,Samir,Kərimov,UJR117F,18.06.1977,GO1499,GO 14.99,17.08.2026,14.09.2026,31.44,4.4,452,35,0,0.82,aktiv,03.03.2025,4561
C0005,994993212233,Aytac,Kərimova,SUAK2ZW,19.08.1975,GO799,GO 7.99,19.08.2026,02.09.2026,48.33,1.55,158,83,0,0.68,aktiv,10.08.2019,7481
C0006,994996661760,Türkan,Mustafayeva,HXDGAKG,24.04.1986,GO799,GO 7.99,29.08.2026,12.09.2026,42.96,0.21,53,78,0,0.38,aktiv,30.10.2021,5691
C0007,994557777412,Lalə,Əliyeva,6L9BP9Z,29.07.1976,GO799,GO 7.99,27.08.2026,10.09.2026,48.3,2.74,194,67,0,0.3,aktiv,08.01.2020,4278
C0008,994558885393,Nicat,Həsənov,QN97YBB,11.06.2005,GO1999,GO 19.99,06.08.2026,03.09.2026,19.56,3.89,709,176,0.89,0.94,aktiv,02.12.2022,5974
C0009,994993537990,Orxan,Quliyev,FH0N6M3,26.05.2005,GO1199,GO 11.99,12.08.2026,09.09.2026,44.51,0.43,202,118,0,0.4,aktiv,14.12.2019,2602
C0010,994559729975,Kamran,Məmmədov,AG9J3NP,04.04.1971,GO799,GO 7.99,24.08.2026,07.09.2026,17.63,0.88,61,97,0,0.59,aktiv,28.11.2021,8918
C0011,994997986828,Kamran,Məmmədov,4MAKMK6,09.10.1997,GO799,GO 7.99,24.08.2026,07.09.2026,50.76,1.67,83,87,0,0.52,aktiv,25.03.2025,7905
C0012,994553340187,Nigar,Qasımova,E4W88NT,17.04.1990,GO1499,GO 14.99,08.08.2026,05.09.2026,35.57,6.46,259,63,0,0.7,birtərəfli_bloklu,29.11.2021,9167
C0013,994992616751,Günel,Mustafayeva,VHKZKSJ,25.12.1990,GO1499,GO 14.99,19.08.2026,16.09.2026,15.37,7.62,203,124,0,0.16,aktiv,05.07.2021,2645
C0014,994996355150,Fidan,Abbasova,B0X9U8E,23.01.1975,GO1199,GO 11.99,18.08.2026,15.09.2026,68.96,3.94,53,21,0,0.27,aktiv,12.06.2019,2974
C0015,994994628897,Kamran,Mustafayev,M3ETBFS,04.10.1973,GO1999,GO 19.99,30.08.2026,27.09.2026,42.57,3.34,270,62,0.91,0.34,aktiv,15.03.2025,6844
C0016,994550831240,Sevinc,Bağırova,9PU48MT,26.07.1985,GO799,GO 7.99,28.08.2026,11.09.2026,56.26,2.98,9,1,0,0.02,aktiv,02.09.2024,9028
C0017,994557167868,Fidan,Rəhimova,XNJ1YDJ,22.08.1970,GO1199,GO 11.99,26.08.2026,23.09.2026,4.95,3.7,130,110,0,0.16,tam_bloklu,13.12.2019,6240
C0018,994554072247,Könül,İsmayılova,WRCVPYM,18.01.1970,GO799,GO 7.99,27.08.2026,10.09.2026,23.47,0.25,71,64,0,0.66,tam_bloklu,13.10.2021,8269
C0019,994552690604,Nigar,İsmayılova,9K0W7KU,26.06.2002,GO1199,GO 11.99,25.08.2026,22.09.2026,43.31,0.72,262,109,0,0.73,aktiv,01.09.2024,2282
C0020,994559310025,Türkan,Cəfərova,DBR7SA5,13.10.2005,GOPRO5999,GO Pro 59.99,20.08.2026,17.09.2026,4.91,55.95,2192,188,3.3,0.07,aktiv,24.04.2024,4131
C0021,994553377617,Gülnar,İsmayılova,NEKXSVJ,24.07.1970,GOPRO2999,GO Pro 29.99,23.08.2026,20.09.2026,33.77,14.57,1376,101,2.08,0.68,aktiv,06.04.2022,8462
C0022,994558341704,Cavid,Rəhimov,4T0PPEF,11.05.1976,GO1199,GO 11.99,06.08.2026,03.09.2026,52.32,1.31,184,33,0,0.6,aktiv,14.09.2024,4580
C0023,994557760207,Səbinə,Həsənova,K2Y0WHX,29.01.1970,GO1499,GO 14.99,20.08.2026,17.09.2026,22.72,2.71,203,30,0,0.94,aktiv,12.03.2021,0192
C0024,994991669156,Sevinc,İsmayılova,GDUKRT3,02.12.1992,GO1999,GO 19.99,05.08.2026,02.09.2026,22.09,11.6,438,14,1.62,0.63,aktiv,19.03.2025,8998
C0025,994997924708,Tural,Məmmədov,UVSS1RV,04.09.1991,GO799,GO 7.99,25.08.2026,08.09.2026,39.01,1.18,42,82,0,0.16,aktiv,01.05.2021,8201
C0026,994557576283,Lalə,Cəfərova,FWRZSNB,18.08.2003,GO799,GO 7.99,30.08.2026,13.09.2026,60.94,1.15,190,67,0,0.21,aktiv,11.01.2022,5541
C0027,994992883143,Lalə,İsmayılova,VBJC367,03.01.1970,GO1199,GO 11.99,12.08.2026,09.09.2026,5.12,4.65,270,119,0,0.97,aktiv,14.10.2021,1786
C0028,994557180023,Kamran,Cəfərov,VJS93HG,26.02.1973,GO1499,GO 14.99,31.08.2026,28.09.2026,21.02,7.55,98,99,0,0.26,aktiv,27.09.2025,0018
C0029,994995378383,Samir,Rəhimov,VDBN72F,16.07.1981,GO799,GO 7.99,26.08.2026,09.09.2026,15.95,1.27,94,29,0,0.49,aktiv,16.10.2022,6890
C0030,994554813734,Elnur,Quliyev,QSUG7MQ,05.10.1991,GO1999,GO 19.99,26.08.2026,23.09.2026,29.19,9.98,609,74,1.84,0.05,aktiv,07.04.2019,9766
C0031,994552675112,Rəşad,Nəbiyev,95CV0ZX,05.11.1989,GO1199,GO 11.99,27.08.2026,24.09.2026,11.85,0.01,143,20,0,0.35,aktiv,21.05.2020,9193
C0032,994994610735,Günel,Abbasova,Z6B2R1C,06.11.1986,GO1199,GO 11.99,18.08.2026,15.09.2026,2.44,0.31,31,65,0,0.19,aktiv,15.09.2019,9922
C0033,994554544091,Murad,Həsənov,50S37J7,17.03.1978,GO799,GO 7.99,29.08.2026,12.09.2026,0.61,2.79,77,88,0,0.77,aktiv,23.10.2025,3868
C0034,994999183623,Ayaz,Rəhimov,WL3GESF,07.05.1979,GO1199,GO 11.99,12.08.2026,09.09.2026,6.75,2.49,228,44,0,0.23,aktiv,04.09.2023,7551
C0035,994554449454,Könül,Quliyeva,MRRKUNW,27.11.1972,GO1999,GO 19.99,26.08.2026,23.09.2026,27.72,14.89,519,269,0.46,0.81,aktiv,15.03.2024,0606
