tranzaksiya_id,msisdn,tarix,tip,mebleg_azn,kanal,tesvir
TX00275,994998443180,01.03.2026 01:05,tarif_deyisikliyi,-29.99,onlayn ödəniş,Tarif dəyişdirildi: GO Pro 29.99 (keçid 0₼ + abunə haqqı)
TX00184,994552675112,01.03.2026 10:28,paket_alisi,-0.8,onlayn ödəniş,İnternet paketi alındı: Gündəlik 300 MB
TX00081,994553340187,02.03.2026 06:47,balans_artirma,20,chatbot,Balans artırıldı
TX00204,994554449454,02.03.2026 09:55,paket_alisi,-19.0,555 zəng mərkəzi,İnternet paketi alındı: Aylıq 15 GB
TX00107,994554072247,03.03.2026 02:14,paket_alisi,-12.0,onlayn ödəniş,İnternet paketi alındı: Aylıq 6 GB
TX00132,994558341704,03.03.2026 12:26,tarif_yenilenmesi,-11.99,Bakcell tətbiqi,Tarif yeniləndi: GO 11.99 (*905*2#)
TX00058,994993537990,03.03.2026 13:08,tarif_yenilenmesi,-11.99,555 zəng mərkəzi,Tarif yeniləndi: GO 11.99 (*905*2#)
TX00259,994993900009,03.03.2026 15:59,balans_artirma,1,555 zəng mərkəzi,Balans artırıldı
TX00316,994552359852,04.03.2026 00:50,balans_yoxlama_ussd,-0.19,chatbot,Balans yoxlanışı (*100#)
TX00048,994557777412,04.03.2026 05:09,paketdenkenar_sms,-0.57,onlayn ödəniş,"Paketdənkənar SMS (3 ədəd, 0.19₼)"
TX00139,994557760207,04.03.2026 14:48,balans_artirma,1,USSD,Balans artırıldı
TX00040,994996661760,04.03.2026 22:12,balans_artirma,1,onlayn ödəniş,Balans artırıldı
TX00035,994996661760,05.03.2026 09:24,balans_artirma,3,onlayn ödəniş,Balans artırıldı
TX00352,994552752368,07.03.2026 22:09,paketdenkenar_sms,-0.76,555 zəng mərkəzi,"Paketdənkənar SMS (4 ədəd, 0.19₼)"
TX00072,994559729975,08.03.2026 01:44,paket_alisi,-19.0,Bakcell tətbiqi,İnternet paketi alındı: Aylıq 15 GB
TX00351,994552752368,08.03.2026 07:14,paket_alisi,-6.0,chatbot,İnternet paketi alındı: Aylıq 1.5 GB
TX00066,994559729975,08.03.2026 11:46,paket_alisi,-19.0,chatbot,İnternet paketi alındı: Aylıq 15 GB
TX00026,994993212233,09.03.2026 10:52,balans_artirma,10,Bakcell tətbiqi,Balans artırıldı
TX00318,994552359852,10.03.2026 02:32,paketdenkenar_sms,-0.95,USSD,"Paketdənkənar SMS (5 ədəd, 0.19₼)"
TX00071,994559729975,10.03.2026 11:33,balans_artirma,3,USSD,Balans artırıldı
TX00138,994557760207,10.03.2026 21:12,paketdenkenar_zeng,-1.5,Bakcell tətbiqi,"Paketdənkənar ölkədaxili zəng (5 dəq, 0.30₼/dəq)"
TX00136,994557760207,11.03.2026 01:10,paketdenkenar_zeng,-1.5,onlayn ödəniş,"Paketdənkənar ölkədaxili zəng (5 dəq, 0.30₼/dəq)"
TX00028,994993212233,11.03.2026 04:03,tarif_yenilenmesi,-7.99,555 zəng mərkəzi,Tarif yeniləndi: GO 7.99 (*903*2#)
TX00230,994557293068,11.03.2026 13:48,tarif_deyisikliyi,-29.99,Bakcell tətbiqi,Tarif dəyişdirildi: GO Pro 29.99 (keçid 0₼ + abunə haqqı)
TX00354,994552752368,12.03.2026 02:58,paketdenkenar_sms,-0.57,onlayn ödəniş,"Paketdənkənar SMS (3 ədəd, 0.19₼)"
TX00308,994557958492,12.03.2026 20:36,tarif_deyisikliyi,-7.99,chatbot,Tarif dəyişdirildi: GO 7.99 (keçid 0₼ + abunə haqqı)
TX00236,994997872009,13.03.2026 08:20,tarif_yenilenmesi,-59.99,Bakcell tətbiqi,Tarif yeniləndi: GO Pro 59.99 (*960*2#)
TX00079,994553340187,13.03.2026 08:48,balans_yoxlama_ussd,-0.19,onlayn ödəniş,Balans yoxlanışı (*100#)
TX00128,994553377617,14.03.2026 12:23,balans_yoxlama_ussd,-0.19,chatbot,Balans yoxlanışı (*100#)
TX00090,994996355150,15.03.2026 06:09,paket_alisi,-19.0,555 zəng mərkəzi,İnternet paketi alındı: Aylıq 15 GB
TX00108,994554072247,15.03.2026 17:41,paketdenkenar_zeng,-1.8,chatbot,"Paketdənkənar ölkədaxili zəng (6 dəq, 0.30₼/dəq)"
TX00246,994550862019,16.03.2026 05:44,balans_artirma,5,chatbot,Balans artırıldı
TX00042,994557777412,16.03.2026 10:47,paket_alisi,-19.0,chatbot,İnternet paketi alındı: Aylıq 15 GB
